,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mike Gallagher (R),N00039330,36200,BayCare Clinic,0,36200,2016
1,Mike Gallagher (R),N00039330,24300,Sidwell Friends School,0,24300,2016
2,Mike Gallagher (R),N00039330,21600,Rooney Holdings,0,21600,2016
3,Mike Gallagher (R),N00039330,21600,Spark Capital,0,21600,2016
4,Mike Gallagher (R),N00039330,16550,Aurora Health Care,0,16550,2016
5,Mike Gallagher (R),N00039330,16200,CK Holdings,0,16200,2016
6,Mike Gallagher (R),N00039330,16200,Harris Assoc,0,16200,2016
7,Mike Gallagher (R),N00039330,16200,Mariner Investment Group,0,16200,2016
8,Mike Gallagher (R),N00039330,15950,Belmark Inc,0,15950,2016
9,Mike Gallagher (R),N00039330,15800,Alta Resources,0,15800,2016
0,Mike Gallagher (R),N00039330,28700,BayCare Clinic,0,28700,2018
1,Mike Gallagher (R),N00039330,21600,Spark Capital,0,21600,2018
2,Mike Gallagher (R),N00039330,20850,Kirkland & Ellis,0,20850,2018
3,Mike Gallagher (R),N00039330,10712,Oshkosh Corp,9000,19712,2018
4,Mike Gallagher (R),N00039330,16200,Alta Resources,0,16200,2018
5,Mike Gallagher (R),N00039330,16200,Plexus Corp,0,16200,2018
6,Mike Gallagher (R),N00039330,16200,Willow Asset Management,0,16200,2018
7,Mike Gallagher (R),N00039330,0,Tuesday Group PAC,15000,15000,2018
8,Mike Gallagher (R),N00039330,14800,Schreiber Foods,0,14800,2018
9,Mike Gallagher (R),N00039330,3605,Northwestern Mutual Life Insurance,10000,13605,2018
0,Liz Cheney (R),N00035504,21600,Sembler Co,0,21600,2016
1,Liz Cheney (R),N00035504,17200,Majestic Realty,0,17200,2016
2,Liz Cheney (R),N00035504,17166,Elliott Management,0,17166,2016
3,Liz Cheney (R),N00035504,16200,Ashley Furniture,0,16200,2016
4,Liz Cheney (R),N00035504,16200,Blackstone Group,0,16200,2016
5,Liz Cheney (R),N00035504,10800,IDT Corp,5000,15800,2016
6,Liz Cheney (R),N00035504,13500,Amway/Alticor Inc,0,13500,2016
7,Liz Cheney (R),N00035504,13500,Castle Harlan Inc,0,13500,2016
8,Liz Cheney (R),N00035504,13500,Chicago Cubs,0,13500,2016
9,Liz Cheney (R),N00035504,11800,Hess Corp,0,11800,2016
0,Liz Cheney (R),N00035504,21600,Ashley Furniture,0,21600,2018
1,Liz Cheney (R),N00035504,0,Honeywell International,12499,12499,2018
2,Liz Cheney (R),N00035504,10800,Atomic Capital,0,10800,2018
3,Liz Cheney (R),N00035504,10800,Sigma Partners,0,10800,2018
4,Liz Cheney (R),N00035504,10400,Satellite Industries,0,10400,2018
5,Liz Cheney (R),N00035504,0,American Crystal Sugar,10000,10000,2018
6,Liz Cheney (R),N00035504,0,AT&T Inc,10000,10000,2018
7,Liz Cheney (R),N00035504,0,Common Values PAC,10000,10000,2018
8,Liz Cheney (R),N00035504,0,Deloitte LLP,10000,10000,2018
9,Liz Cheney (R),N00035504,0,JR Simplot Co,10000,10000,2018
0,Ron Estes (R),N00040712,6500,Spirit Aerosystems,15000,21500,2018
1,Ron Estes (R),N00040712,20800,Watco Companies,0,20800,2018
2,Ron Estes (R),N00040712,16400,McGinty Machine Co,0,16400,2018
3,Ron Estes (R),N00040712,16200,Palomino Petroleum,0,16200,2018
4,Ron Estes (R),N00040712,16200,Poet Ethanol Products,0,16200,2018
5,Ron Estes (R),N00040712,1000,Koch Industries,15000,16000,2018
6,Ron Estes (R),N00040712,0,Boeing Co,15000,15000,2018
7,Ron Estes (R),N00040712,0,Case New Holland,15000,15000,2018
8,Ron Estes (R),N00040712,0,Majority Cmte PAC,15000,15000,2018
9,Ron Estes (R),N00040712,0,National Assn of Home Builders,15000,15000,2018
