,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Elise Stefanik (R),N00035523,26400,Elliott Management,0,26400,2018
1,Elise Stefanik (R),N00035523,21600,Alticor Inc,0,21600,2018
2,Elise Stefanik (R),N00035523,21600,Jane Street Capital,0,21600,2018
3,Elise Stefanik (R),N00035523,11800,Winning for Women,5000,16800,2018
4,Elise Stefanik (R),N00035523,14850,NorPAC,0,14850,2018
5,Elise Stefanik (R),N00035523,2700,PricewaterhouseCoopers,10000,12700,2018
6,Elise Stefanik (R),N00035523,10800,Capital Group Companies,1000,11800,2018
7,Elise Stefanik (R),N00035523,1000,Boeing Co,10000,11000,2018
8,Elise Stefanik (R),N00035523,10800,Arizona Diamondbacks,0,10800,2018
9,Elise Stefanik (R),N00035523,10800,Clearpath Foundation,0,10800,2018
0,John Katko (R),N00035934,10975,Syracuse University,0,10975,2014
1,John Katko (R),N00035934,10500,Tracey Road Equipment,0,10500,2014
2,John Katko (R),N00035934,10400,Annapolis Yacht Sales,0,10400,2014
3,John Katko (R),N00035934,10400,Burdick Automotive,0,10400,2014
4,John Katko (R),N00035934,10400,JMA Wireless,0,10400,2014
5,John Katko (R),N00035934,10400,Mystic Stamp Co,0,10400,2014
6,John Katko (R),N00035934,10400,Pyramid Companies,0,10400,2014
7,John Katko (R),N00035934,10400,Raymond James & Assoc,0,10400,2014
8,John Katko (R),N00035934,10000,Flaum Management,0,10000,2014
9,John Katko (R),N00035934,0,Freedom Project,10000,10000,2014
0,John Katko (R),N00035934,42550,Elliott Management,0,42550,2016
1,John Katko (R),N00035934,18900,Bankers Healthcare Group,0,18900,2016
2,John Katko (R),N00035934,15350,Pyramid Management Group,0,15350,2016
3,John Katko (R),N00035934,0,Exelon Corp,15000,15000,2016
4,John Katko (R),N00035934,15000,Woodbranch Investments,0,15000,2016
5,John Katko (R),N00035934,13500,Red Apple Group,0,13500,2016
6,John Katko (R),N00035934,0,Making America Prosperous,11551,11551,2016
7,John Katko (R),N00035934,1250,Ernst & Young,10000,11250,2016
8,John Katko (R),N00035934,1000,United Parcel Service,10000,11000,2016
9,John Katko (R),N00035934,10800,Burdick Automotive,0,10800,2016
0,John Katko (R),N00035934,32400,Bankers Healthcare Group,0,32400,2018
1,John Katko (R),N00035934,5400,AT&T Inc,9000,14400,2018
2,John Katko (R),N00035934,13900,Clear,0,13900,2018
3,John Katko (R),N00035934,13500,Blackstone Group,0,13500,2018
4,John Katko (R),N00035934,13500,Charles Schwab & Co,0,13500,2018
5,John Katko (R),N00035934,13500,Jane Street Capital,0,13500,2018
6,John Katko (R),N00035934,3075,Anheuser-Busch,10000,13075,2018
7,John Katko (R),N00035934,2700,Exelon Corp,10000,12700,2018
8,John Katko (R),N00035934,2000,Ernst & Young,10000,12000,2018
9,John Katko (R),N00035934,0,MVP Health Care,11000,11000,2018
0,Brendan Boyle (D),N00035307,10400,Bayada Home Health Care,4500,14900,2014
1,Brendan Boyle (D),N00035307,1000,IBEW Local 98,10375,11375,2014
2,Brendan Boyle (D),N00035307,10949,Conrad O'Brien PC,0,10949,2014
3,Brendan Boyle (D),N00035307,4750,Crown Cork & Seal,6000,10750,2014
4,Brendan Boyle (D),N00035307,10400,Susquehanna International Group,0,10400,2014
5,Brendan Boyle (D),N00035307,0,American Assn for Justice,10000,10000,2014
6,Brendan Boyle (D),N00035307,0,American Federation of State/Cnty/Munic Employees,10000,10000,2014
7,Brendan Boyle (D),N00035307,0,American Society of Anesthesiologists,10000,10000,2014
8,Brendan Boyle (D),N00035307,0,AmeriPAC: The Fund for a Greater America,10000,10000,2014
9,Brendan Boyle (D),N00035307,0,Bricklayers Union,10000,10000,2014
