,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Bill Huizenga (R),N00030673,73600,Votesane PAC,0,73600,2010
1,Bill Huizenga (R),N00030673,15300,New York Life Insurance,5000,20300,2010
2,Bill Huizenga (R),N00030673,16800,Alticor Inc,0,16800,2010
3,Bill Huizenga (R),N00030673,11200,Blackstone Group,0,11200,2010
4,Bill Huizenga (R),N00030673,5600,Bank of America,5500,11100,2010
5,Bill Huizenga (R),N00030673,1000,PricewaterhouseCoopers,10000,11000,2010
6,Bill Huizenga (R),N00030673,10800,Eagle Aluminum Cast Products,0,10800,2010
7,Bill Huizenga (R),N00030673,0,Ally Financial,10000,10000,2010
8,Bill Huizenga (R),N00030673,0,Koch Industries,10000,10000,2010
9,Bill Huizenga (R),N00030673,9474,Bernard Marcus Family Foundation,0,9474,2010
0,Bill Huizenga (R),N00030673,22500,Amway/Alticor Inc,1000,23500,2012
1,Bill Huizenga (R),N00030673,15000,Windquest Group,0,15000,2012
2,Bill Huizenga (R),N00030673,14500,Eagle Alloy,0,14500,2012
3,Bill Huizenga (R),N00030673,750,CMS Energy,10000,10750,2012
4,Bill Huizenga (R),N00030673,0,American Bankers Assn,10000,10000,2012
5,Bill Huizenga (R),N00030673,0,Credit Union National Assn,10000,10000,2012
6,Bill Huizenga (R),N00030673,10000,DP Fox Ventures,0,10000,2012
7,Bill Huizenga (R),N00030673,0,DTE Energy,10000,10000,2012
8,Bill Huizenga (R),N00030673,0,Every Republican is Crucial PAC,10000,10000,2012
9,Bill Huizenga (R),N00030673,0,National Assn of Insurance & Financial Advisors,10000,10000,2012
0,Bill Huizenga (R),N00030673,20800,Haworth Inc,0,20800,2014
1,Bill Huizenga (R),N00030673,5000,Quicken Loans,15000,20000,2014
2,Bill Huizenga (R),N00030673,15600,Amway/Alticor Inc,1000,16600,2014
3,Bill Huizenga (R),N00030673,15600,Eagle Alloy,0,15600,2014
4,Bill Huizenga (R),N00030673,11650,Steelcase Inc,0,11650,2014
5,Bill Huizenga (R),N00030673,11400,Wolverine World Wide,0,11400,2014
6,Bill Huizenga (R),N00030673,2000,JPMorgan Chase & Co,9000,11000,2014
7,Bill Huizenga (R),N00030673,10900,Port City Group,0,10900,2014
8,Bill Huizenga (R),N00030673,0,Liberty Mutual Insurance,10500,10500,2014
9,Bill Huizenga (R),N00030673,10400,Autocam Corp,0,10400,2014
0,Bill Huizenga (R),N00030673,10000,Quicken Loans,10000,20000,2016
1,Bill Huizenga (R),N00030673,16200,Port City Group,0,16200,2016
2,Bill Huizenga (R),N00030673,10800,Alticor Inc,0,10800,2016
3,Bill Huizenga (R),N00030673,10800,Amway/Alticor Inc,0,10800,2016
4,Bill Huizenga (R),N00030673,10800,Eagle Aluminum Cast Products,0,10800,2016
5,Bill Huizenga (R),N00030673,0,American Bankers Assn,10000,10000,2016
6,Bill Huizenga (R),N00030673,0,American Institute of CPAs,10000,10000,2016
7,Bill Huizenga (R),N00030673,0,American Kidney Stone Management,10000,10000,2016
8,Bill Huizenga (R),N00030673,0,Blue Cross/Blue Shield of Michigan,10000,10000,2016
9,Bill Huizenga (R),N00030673,0,Capital One Financial,10000,10000,2016
0,Bill Huizenga (R),N00030673,12000,Nasdaq Inc,9000,21000,2018
1,Bill Huizenga (R),N00030673,18900,Alticor Inc,0,18900,2018
2,Bill Huizenga (R),N00030673,5400,Quicken Loans,10000,15400,2018
3,Bill Huizenga (R),N00030673,500,Paul Hastings LLP,14000,14500,2018
4,Bill Huizenga (R),N00030673,14450,Cantor Fitzgerald,0,14450,2018
5,Bill Huizenga (R),N00030673,2000,Chicago Board Options Exchange,10000,12000,2018
6,Bill Huizenga (R),N00030673,2000,CMS Energy,10000,12000,2018
7,Bill Huizenga (R),N00030673,2000,Huntington Bancshares,9500,11500,2018
8,Bill Huizenga (R),N00030673,4000,Options Clearing Corp,7500,11500,2018
9,Bill Huizenga (R),N00030673,11050,Eagle Alloy,0,11050,2018
