,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Kevin Hern (R),N00040829,43550,McDonald's Corp,10000,53550,2018
1,Kevin Hern (R),N00040829,16200,Pelco Structural,0,16200,2018
2,Kevin Hern (R),N00040829,16000,Jim Norton Toyota,0,16000,2018
3,Kevin Hern (R),N00040829,0,Majority Cmte PAC,15000,15000,2018
4,Kevin Hern (R),N00040829,0,National Cattlemen's Beef Assn,15000,15000,2018
5,Kevin Hern (R),N00040829,14300,Premier Consulting Partners,0,14300,2018
6,Kevin Hern (R),N00040829,13500,AAON Inc,0,13500,2018
7,Kevin Hern (R),N00040829,13500,Robson Co,0,13500,2018
8,Kevin Hern (R),N00040829,8100,Devon Energy,5000,13100,2018
9,Kevin Hern (R),N00040829,0,National Assn of Home Builders,12500,12500,2018
0,Joseph D Morelle (D),N00043207,16805,Constellation Brands,15000,31805,2018
1,Joseph D Morelle (D),N00043207,24500,Ostroff Assoc,0,24500,2018
2,Joseph D Morelle (D),N00043207,0,International Brotherhood of Electrical Workers,17500,17500,2018
3,Joseph D Morelle (D),N00043207,6400,MacAndrews & Forbes,10000,16400,2018
4,Joseph D Morelle (D),N00043207,16200,Ashley Group,0,16200,2018
5,Joseph D Morelle (D),N00043207,0,American Dental Assn,16000,16000,2018
6,Joseph D Morelle (D),N00043207,15350,Lechase Construction,0,15350,2018
7,Joseph D Morelle (D),N00043207,200,Harris Corp,15000,15200,2018
8,Joseph D Morelle (D),N00043207,0,American Assn for Justice,15000,15000,2018
9,Joseph D Morelle (D),N00043207,0,American Federation of State/Cnty/Munic Employees,15000,15000,2018
0,Mary Gay Scanlon (D),N00042706,259474,Ballard Spahr Llp,0,259474,2018
1,Mary Gay Scanlon (D),N00042706,37950,Comcast Corp,10000,47950,2018
2,Mary Gay Scanlon (D),N00042706,13841,Duane Morris LLP,4891,18732,2018
3,Mary Gay Scanlon (D),N00042706,16000,JStreetPAC,0,16000,2018
4,Mary Gay Scanlon (D),N00042706,14141,University of Pennsylvania,0,14141,2018
5,Mary Gay Scanlon (D),N00042706,7850,EMILY's List,5000,12850,2018
6,Mary Gay Scanlon (D),N00042706,12262,Dechert Llp,0,12262,2018
7,Mary Gay Scanlon (D),N00042706,0,American Assn for Justice,10000,10000,2018
8,Mary Gay Scanlon (D),N00042706,0,AmeriPAC: The Fund for a Greater America,10000,10000,2018
9,Mary Gay Scanlon (D),N00042706,0,Boeing Co,10000,10000,2018
0,Susan Wild (D),N00041997,82136,EMILY's List,15000,97136,2018
1,Susan Wild (D),N00041997,34935,Democracy Engine,0,34935,2018
2,Susan Wild (D),N00041997,30340,"Gross, McGinley et al",0,30340,2018
3,Susan Wild (D),N00041997,14750,AmeriPAC: The Fund for a Greater America,15000,29750,2018
4,Susan Wild (D),N00041997,25879,Swing Left,0,25879,2018
5,Susan Wild (D),N00041997,21466,University of Pennsylvania,0,21466,2018
6,Susan Wild (D),N00041997,16200,Natural Food Source Inc,0,16200,2018
7,Susan Wild (D),N00041997,16132,Lehigh Valley Health Network,0,16132,2018
8,Susan Wild (D),N00041997,13500,WinDem,0,13500,2018
9,Susan Wild (D),N00041997,0,End Citizens United,12500,12500,2018
0,Ed Case (D),N00025882,0,American Hotel & Lodging Assn,10000,10000,2018
1,Ed Case (D),N00025882,0,National Assn of Realtors,10000,10000,2018
2,Ed Case (D),N00025882,9200,"Bays, Lung et al",0,9200,2018
3,Ed Case (D),N00025882,5400,KSL Capital Partners,0,5400,2018
4,Ed Case (D),N00025882,5400,Livmor LLC,0,5400,2018
5,Ed Case (D),N00025882,5400,Nariet,0,5400,2018
6,Ed Case (D),N00025882,5400,US Patent & Trademark Office,0,5400,2018
7,Ed Case (D),N00025882,5000,Captain Andy's Sailing,0,5000,2018
8,Ed Case (D),N00025882,0,Global Business Travel Assn,5000,5000,2018
9,Ed Case (D),N00025882,0,National Assn of Home Builders,5000,5000,2018
