,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Raul M Grijalva (D),N00025284,1250,Dentons US,10000,11250,2016
1,Raul M Grijalva (D),N00025284,0,Air Line Pilots Assn,10000,10000,2016
2,Raul M Grijalva (D),N00025284,0,American Crystal Sugar,10000,10000,2016
3,Raul M Grijalva (D),N00025284,0,American Federation of State/Cnty/Munic Employees,10000,10000,2016
4,Raul M Grijalva (D),N00025284,0,American Federation of Teachers,10000,10000,2016
5,Raul M Grijalva (D),N00025284,0,Border Health,10000,10000,2016
6,Raul M Grijalva (D),N00025284,0,Machinists/Aerospace Workers Union,10000,10000,2016
7,Raul M Grijalva (D),N00025284,0,National Rural Letter Carriers Assn,10000,10000,2016
8,Raul M Grijalva (D),N00025284,0,Service Employees International Union,10000,10000,2016
9,Raul M Grijalva (D),N00025284,0,Teamsters Union,10000,10000,2016
0,Raul M Grijalva (D),N00025284,5000,Service Employees International Union,10000,15000,2018
1,Raul M Grijalva (D),N00025284,0,Dentons US,11000,11000,2018
2,Raul M Grijalva (D),N00025284,10800,Far Star Ventures,0,10800,2018
3,Raul M Grijalva (D),N00025284,0,American Crystal Sugar,10000,10000,2018
4,Raul M Grijalva (D),N00025284,0,American Federation of State/Cnty/Munic Employees,10000,10000,2018
5,Raul M Grijalva (D),N00025284,0,American Federation of Teachers,10000,10000,2018
6,Raul M Grijalva (D),N00025284,0,Communications Workers of America,10000,10000,2018
7,Raul M Grijalva (D),N00025284,0,Machinists/Aerospace Workers Union,10000,10000,2018
8,Raul M Grijalva (D),N00025284,0,National Air Traffic Controllers Assn,10000,10000,2018
9,Raul M Grijalva (D),N00025284,0,National Education Assn,10000,10000,2018
0,Brett Guthrie (R),N00029675,0,Bluegrass Cmte,10000,10000,2010
1,Brett Guthrie (R),N00029675,0,AstraZeneca Pharmaceuticals,8000,8000,2010
2,Brett Guthrie (R),N00029675,0,American College of Emergency Physicians,7500,7500,2010
3,Brett Guthrie (R),N00029675,0,Biogen,7500,7500,2010
4,Brett Guthrie (R),N00029675,0,T-Mobile USA,6500,6500,2010
5,Brett Guthrie (R),N00029675,1000,America's Health Insurance Plans,5000,6000,2010
6,Brett Guthrie (R),N00029675,0,Merck & Co,6000,6000,2010
7,Brett Guthrie (R),N00029675,0,Alkermes Inc,5000,5000,2010
8,Brett Guthrie (R),N00029675,0,Alzheimer's Assn,5000,5000,2010
9,Brett Guthrie (R),N00029675,0,American Assn of Nurse Anesthetists,5000,5000,2010
0,Brett Guthrie (R),N00029675,2500,Brown-Forman Corp,10000,12500,2012
1,Brett Guthrie (R),N00029675,0,National Community Action Foundation,12000,12000,2012
2,Brett Guthrie (R),N00029675,0,Honeywell International,11000,11000,2012
3,Brett Guthrie (R),N00029675,0,American Assn of Nurse Anesthetists,10000,10000,2012
4,Brett Guthrie (R),N00029675,0,American Assn of Orthopaedic Surgeons,10000,10000,2012
5,Brett Guthrie (R),N00029675,0,American Bankers Assn,10000,10000,2012
6,Brett Guthrie (R),N00029675,0,American College of Cardiology,10000,10000,2012
7,Brett Guthrie (R),N00029675,0,American College of Emergency Physicians,10000,10000,2012
8,Brett Guthrie (R),N00029675,0,American College of Radiology,10000,10000,2012
9,Brett Guthrie (R),N00029675,0,American Crystal Sugar,10000,10000,2012
0,Brett Guthrie (R),N00029675,7200,Brown-Forman Corp,6000,13200,2014
1,Brett Guthrie (R),N00029675,12900,Independence Bank,0,12900,2014
2,Brett Guthrie (R),N00029675,500,United Parcel Service,11000,11500,2014
3,Brett Guthrie (R),N00029675,1000,Koch Industries,10000,11000,2014
4,Brett Guthrie (R),N00029675,0,Honeywell International,10055,10055,2014
5,Brett Guthrie (R),N00029675,0,Alpha Natural Resources,10000,10000,2014
6,Brett Guthrie (R),N00029675,0,American Assn of Nurse Anesthetists,10000,10000,2014
7,Brett Guthrie (R),N00029675,0,American Assn of Orthopaedic Surgeons,10000,10000,2014
8,Brett Guthrie (R),N00029675,0,American Society of Interventional Pain Physicians,10000,10000,2014
9,Brett Guthrie (R),N00029675,0,AT&T Inc,10000,10000,2014
