,cand_name,cid,indivs,org_name,pacs,total,cycle
0,Mark Walker (R),N00035311,15600,Advanced Technology Inc,0,15600,2016
1,Mark Walker (R),N00035311,13500,Carroll Companies,0,13500,2016
2,Mark Walker (R),N00035311,7625,Lorillard Tobacco,5000,12625,2016
3,Mark Walker (R),N00035311,1250,AT&T Inc,10000,11250,2016
4,Mark Walker (R),N00035311,0,American Bankers Assn,10000,10000,2016
5,Mark Walker (R),N00035311,0,Majority Cmte PAC,10000,10000,2016
6,Mark Walker (R),N00035311,9430,Forsyth Plastic Surgery,0,9430,2016
7,Mark Walker (R),N00035311,0,National Assn of Realtors,9000,9000,2016
8,Mark Walker (R),N00035311,0,National Auto Dealers Assn,8500,8500,2016
9,Mark Walker (R),N00035311,8100,Nc Dept of Health & Human Services,0,8100,2016
0,Mark Walker (R),N00035311,21500,Glen Raven Inc,0,21500,2018
1,Mark Walker (R),N00035311,19200,Xpo Logistics,0,19200,2018
2,Mark Walker (R),N00035311,16200,Ldj Global Strategies,0,16200,2018
3,Mark Walker (R),N00035311,13500,Pike Corp,0,13500,2018
4,Mark Walker (R),N00035311,12400,Machine Specialties,0,12400,2018
5,Mark Walker (R),N00035311,1500,AT&T Inc,10000,11500,2018
6,Mark Walker (R),N00035311,10850,Wake Forest University,0,10850,2018
7,Mark Walker (R),N00035311,10800,Health-Scripts Media,0,10800,2018
8,Mark Walker (R),N00035311,10800,Herring Networks,0,10800,2018
9,Mark Walker (R),N00035311,10800,VF Corp,0,10800,2018
0,Ben Sasse (R),N00035544,294987,Club for Growth,0,294987,2014
1,Ben Sasse (R),N00035544,148729,Senate Conservatives Fund,10000,158729,2014
2,Ben Sasse (R),N00035544,38450,McKinsey & Co,0,38450,2014
3,Ben Sasse (R),N00035544,20950,Mutual of Omaha,10000,30950,2014
4,Ben Sasse (R),N00035544,22000,NorPAC,3000,25000,2014
5,Ben Sasse (R),N00035544,22600,Madison Dearborn Partners,0,22600,2014
6,Ben Sasse (R),N00035544,20050,DCI Group,2500,22550,2014
7,Ben Sasse (R),N00035544,12500,BNSF Railway,10000,22500,2014
8,Ben Sasse (R),N00035544,20800,Decision Resources Group,0,20800,2014
9,Ben Sasse (R),N00035544,20800,Healthcare Info Sys/Medi-Bill Sys,0,20800,2014
0,Trent Kelly (R),N00037003,0,American Bankers Assn,15000,15000,2016
1,Trent Kelly (R),N00037003,0,Caterpillar Inc,15000,15000,2016
2,Trent Kelly (R),N00037003,0,Majority Cmte PAC,15000,15000,2016
3,Trent Kelly (R),N00037003,14000,FL Crane & Sons,0,14000,2016
4,Trent Kelly (R),N00037003,13500,Dunlap & Kyle,0,13500,2016
5,Trent Kelly (R),N00037003,250,General Atomics,13000,13250,2016
6,Trent Kelly (R),N00037003,0,Eye of the Tiger PAC,13000,13000,2016
7,Trent Kelly (R),N00037003,0,Credit Union National Assn,11000,11000,2016
8,Trent Kelly (R),N00037003,0,American Crystal Sugar,10000,10000,2016
9,Trent Kelly (R),N00037003,0,BancorpSouth Bank,10000,10000,2016
0,Trent Kelly (R),N00037003,14300,Dunlap & Kyle,0,14300,2018
1,Trent Kelly (R),N00037003,500,BancorpSouth Bank,10000,10500,2018
2,Trent Kelly (R),N00037003,0,American Bankers Assn,10000,10000,2018
3,Trent Kelly (R),N00037003,0,American Crystal Sugar,10000,10000,2018
4,Trent Kelly (R),N00037003,0,Caterpillar Inc,10000,10000,2018
5,Trent Kelly (R),N00037003,0,General Atomics,10000,10000,2018
6,Trent Kelly (R),N00037003,0,Honeywell International,10000,10000,2018
7,Trent Kelly (R),N00037003,0,Huntington Ingalls Industries,10000,10000,2018
8,Trent Kelly (R),N00037003,0,Mississippi Power,10000,10000,2018
9,Trent Kelly (R),N00037003,0,National Beer Wholesalers Assn,10000,10000,2018
