,cand_name,cid,indivs,org_name,pacs,total,cycle
0,David Loebsack (D),N00027741,5050,Cory 2020,0,5050,2010
1,David Loebsack (D),N00027741,0,AmeriPAC: The Fund for a Greater America,5000,5000,2010
2,David Loebsack (D),N00027741,0,Deere & Co,5000,5000,2010
3,David Loebsack (D),N00027741,0,International Brotherhood of Electrical Workers,5000,5000,2010
4,David Loebsack (D),N00027741,0,National Propane Gas Assn,5000,5000,2010
5,David Loebsack (D),N00027741,0,Purpose PAC,5000,5000,2010
6,David Loebsack (D),N00027741,0,United Auto Workers,5000,5000,2010
7,David Loebsack (D),N00027741,2800,River Products Co,0,2800,2010
8,David Loebsack (D),N00027741,2800,Rothschild North America,0,2800,2010
9,David Loebsack (D),N00027741,2700,Principal Financial Group,0,2700,2010
0,David Loebsack (D),N00027741,44050,University of Iowa,0,44050,2012
1,David Loebsack (D),N00027741,12535,JStreetPAC,9000,21535,2012
2,David Loebsack (D),N00027741,5000,Rockwell Collins Inc,9000,14000,2012
3,David Loebsack (D),N00027741,1500,TransAmerica,10000,11500,2012
4,David Loebsack (D),N00027741,0,American Federation of State/Cnty/Munic Employees,10000,10000,2012
5,David Loebsack (D),N00027741,0,American Federation of Teachers,10000,10000,2012
6,David Loebsack (D),N00027741,0,American Health Care Assn,10000,10000,2012
7,David Loebsack (D),N00027741,0,American Optometric Assn,10000,10000,2012
8,David Loebsack (D),N00027741,0,American Physical Therapy Assn,10000,10000,2012
9,David Loebsack (D),N00027741,0,American Postal Workers Union,10000,10000,2012
0,David Loebsack (D),N00027741,58750,University of Iowa,0,58750,2014
1,David Loebsack (D),N00027741,0,Plumbers/Pipefitters Union,15000,15000,2014
2,David Loebsack (D),N00027741,4750,Rockwell Collins Inc,10000,14750,2014
3,David Loebsack (D),N00027741,1000,AmeriPAC: The Fund for a Greater America,10000,11000,2014
4,David Loebsack (D),N00027741,5400,Democratic Congressional Campaign Cmte,5001,10401,2014
5,David Loebsack (D),N00027741,10400,Essex Meadows,0,10400,2014
6,David Loebsack (D),N00027741,0,Air Line Pilots Assn,10000,10000,2014
7,David Loebsack (D),N00027741,0,American Assn for Justice,10000,10000,2014
8,David Loebsack (D),N00027741,0,American Bankers Assn,10000,10000,2014
9,David Loebsack (D),N00027741,0,American Crystal Sugar,10000,10000,2014
0,David Loebsack (D),N00027741,36652,University of Iowa,0,36652,2016
1,David Loebsack (D),N00027741,10800,Essex Meadows,0,10800,2016
2,David Loebsack (D),N00027741,400,American Federation of State/Cnty/Munic Employees,10000,10400,2016
3,David Loebsack (D),N00027741,9100,Stanley Consultants,1000,10100,2016
4,David Loebsack (D),N00027741,0,Air Line Pilots Assn,10000,10000,2016
5,David Loebsack (D),N00027741,0,American Assn of Nurse Anesthetists,10000,10000,2016
6,David Loebsack (D),N00027741,0,American Bankers Assn,10000,10000,2016
7,David Loebsack (D),N00027741,0,American Crystal Sugar,10000,10000,2016
8,David Loebsack (D),N00027741,0,American Dental Assn,10000,10000,2016
9,David Loebsack (D),N00027741,0,American Federation of Teachers,10000,10000,2016
0,David Loebsack (D),N00027741,52504,University of Iowa,0,52504,2018
1,David Loebsack (D),N00027741,5400,US Cellular,10000,15400,2018
2,David Loebsack (D),N00027741,6110,Rockwell Collins Inc,8000,14110,2018
3,David Loebsack (D),N00027741,14005,Principal Financial Group,0,14005,2018
4,David Loebsack (D),N00027741,2502,Deere & Co,10000,12502,2018
5,David Loebsack (D),N00027741,10085,JStreetPAC,1500,11585,2018
6,David Loebsack (D),N00027741,10800,Davis Companies,0,10800,2018
7,David Loebsack (D),N00027741,10800,Essex Meadows,0,10800,2018
8,David Loebsack (D),N00027741,250,American Optometric Assn,10000,10250,2018
9,David Loebsack (D),N00027741,205,American Federation of State/Cnty/Munic Employees,10000,10205,2018
